date,harga_nasional_idr_kg,harga_jateng_idr_kg,split
2022-07-01,77300,76550,train
2022-08-01,71000,68950,train
2022-09-01,62950,57900,train
2022-10-03,51550,45250,train
2022-11-01,39750,34250,train
2022-12-01,36700,29750,train
2023-01-02,43300,41700,train
2023-02-01,41100,38250,train
2023-03-01,46600,35900,train
2023-04-03,41650,29150,train
2023-05-01,39400,27200,train
2023-06-01,43950,25450,train
2023-07-03,50800,30400,train
2023-08-01,41950,28850,train
2023-09-01,46850,37250,train
2023-10-02,44000,34800,train
2023-11-01,57600,56600,train
2023-12-01,71400,73650,train
2024-01-01,59950,55950,train
2024-02-01,52000,51950,train
2024-03-01,68400,65300,train
2024-04-01,48450,34200,train
2024-05-01,51650,49250,train
2024-06-03,53500,45900,train
2024-07-01,51750,34150,train
2024-08-01,50000,36750,train
2024-09-02,44200,26450,train
2024-10-01,36500,21650,train
2024-11-01,33150,22500,train
2024-12-02,34450,20000,train
2025-01-01,57400,60200,train
2025-02-03,60800,52950,train
2025-03-03,68350,58750,train
2025-04-01,66200,59250,test
2025-05-01,60350,44800,test
2025-06-02,50000,35450,test
2025-07-01,46700,35800,test
2025-08-01,47250,32050,test
2025-09-01,46950,33200,test
2025-10-01,58200,49400,test
2025-11-03,53250,49150,test
2025-12-01,66850,56450,test
